keperluan,kategori
mengurus paspor ke dolok sanggul,Urusan Pribadi
melakukan user testing kepada tenant rumah kreatif toba di sekitar laguboti dan balige,Bertemu Keluarga
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna dan sekolah tinggi diakones hkbpxd,Lainnya
memperbaiki laptop yang tidak bisa terhubung ke internet besok karena tidak ada uts laptop mungkin akan digunakan pada uts etika profesi agama dan etika dan pancasila kewarganegaraan,Memperbaiki Barang
memperbaiki laptop yang tidak bisa menyala,Memperbaiki Barang
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna dan sekolah tinggi diakones hkbp,Lainnya
pengumpulan data dan bertemu mitra untuk mencari informasi dalam memenuhi tugas kreativitas dan inovasi,Bertemu Keluarga
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
pengujian terhadap desain dan progress hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan pa iii,Lainnya
mengikuti acara pernikahan kakak kandung,Lainnya
melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat tobaxd xd tempat baligexd xd keperluan pa,Lainnya
perizinan ke kantor kominfo toba terkait server untuk keperluan deployment pa,Lainnya
sosialisasi penggunaan produk pa dengan bpbd toba,Lainnya
requirement gathering ke dinas pariwisata kabupaten toba pemilik kapal dan pemilik rental mobil dan motor di balige untuk keperluan study independen,Lainnya
mengurus pembuatan passport untuk kegiatan indonesia china youth exchange program di kanim siantar,Urusan Pribadi
memperbaiki laptop,Memperbaiki Barang
study independent melakukan testing prototype final,Lainnya
memperbanyak user untuk diwawancarai untuk kebutuhan study independent,Lainnya
mengurus atm bni di balige,Urusan Pribadi
izin mengurus uang yang tidak keluar dari mesin atm akan tetapi saldo sudah berkurang dari atm,Urusan Pribadi
melakukan validasi mvp untuk kebutuhan stupen,Lainnya
saya izin tidak masuk karena kemalangan opung meninggal dunia,Lainnya
mengejar kapal ke samosir jam dikarenakan trip,Lainnya
mengejar kapal ke samosir jam dikarenakan trip,Lainnya
mengejar kapal berangkat jam untuk ib,Lainnya
membereskan karty atm bni karena tidak berfungsi lagi,Lainnya
ingin melakukan user testing untuk keperluan studi independent,Lainnya
melakukan testing prototype studi independen,Lainnya
memperbaiki hp keadaan rusak,Lainnya
mengambil hp ke counter,Lainnya
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
pengujian terhadap desain dan progress hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan ta dan pa iii,Lainnya
acara keluarga menghadiri pernikahan abang,Bertemu Keluarga
tujuan melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat tobaxd xd tempat baligexd xd keperluan pa,Lainnya
sosialisasi penggunaan produk pa dengan bpbd toba,Lainnya
mempercepat kepulangan ib karena melakukan penyebrangan jadwal kapal tidak menentu dan pada hari ini perkuliahan kelas sudah selesai,Bertemu Keluarga
mempercepat kepulangan ib karena melakukan penyebrangan jadwal kapal tidak menentu dan pada hari ini perkuliahan kelas sudah selesai,Bertemu Keluarga
wawancara dengan dinas pertanian toba studi independen,Lainnya
melakukan pengumpulan data dan wawancara untuk keperluan proyek studi independen di mana xd narasumber ir togap h sitorus kepala dinas pertanian kabupaten tobaxd tempat jalan pertanian no huta bulu mejan baligexd waktu selesai,Tugas Kuliah
melakukan validasi produk yang akan dirancang untuk keperluan proyek studi independenxd narasumber petani tobaxd tempat laguboti balige,Tugas Kuliah
melakukan janji temu dengan pihak komunitas tani dan petani di laguboti terkait produk yang ditawarkan untuk kebutuhan studi independent,Lainnya
check up kepala ke rumah sakit porsea,Bertemu Keluarga
check up ke rumah sakit porsea,Bertemu Keluarga
ke rumah sakit porsea,Bertemu Keluarga
check up ke rumah sakit porsea,Bertemu Keluarga
ingin melakukan ib izin bermalam dikarenakan jam kosong tidak masuk kuliah pada jam sampai jam,Lainnya
ingin melakukan ib izin bermalam dikarenakan jam kosong tidak masuk kuliah pada jam sampai jam,Lainnya
check up ke rumah sakit porsea,Bertemu Keluarga
ingin melakukan ib dikarenakan jam kosong atau tidak masuk mata kuliah,Lainnya
check up kerumah sakit porsea,Bertemu Keluarga
keperluan ib,Lainnya
check up ke rumah sakit porsea,Bertemu Keluarga
terapi kepala,Lainnya
melakukan user testing,Lainnya
check up ke rumah sakit porsea,Bertemu Keluarga
check up kerumah sakit,Bertemu Keluarga
mengurus perpindahan rujukan rumah sakit,Bertemu Keluarga
check up ke rumah sakit,Bertemu Keluarga
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
pengujian terhadap desain dan progress hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan pa iii,Lainnya
melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat toba,Lainnya
mempercepat ib,Lainnya
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna dan sekolah tinggi diakones hkbp,Lainnya
untuk memperbaiki hp ke siantar dikarenakan barang hp di toba yang saya perlukan tidak ada dan agar sempat ikut ibadah kamis putih,Memperbaiki Barang
izin untuk mengurus atm dikerenakan terblokir karena hal ini saya tidak dapat menggunakan atm dan pada hari kamis sampai jumat hari libur nasional bank tidak buka,Urusan Pribadi
melakukan wawancara kepada user yaitu petani di desa pintu pohan untuk keperluan tugas studi independent,Tugas Kuliah
keperluan untuk wawancara studi independent ke pintu pohan,Lainnya
ke tempat orang meninggal bapa tua saya meninggal dan juga sudah selesai uas pada hari senin,Lainnya
mengurus penambalan gigi,Pergi ke Klinik
salah satu anggota keluarga saya baru kemalangan,Bertemu Keluarga
melanjutkan proses tambal gigi dan kontrol behel,Pergi ke Klinik
chek up mata ke rumah sakit,Bertemu Keluarga
penguburan keluarga,Bertemu Keluarga
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna dan sekolah tinggi diakones hkbp,Lainnya
chek up,Lainnya
pengumpulan data dan bertemu mitra untuk mencari informasi dalam memenuhi tugas kreativitas dan inovasi,Bertemu Keluarga
untuk melakukan ib izin bermalam ke batu bara lebih cepat karena akses kendaraan yang terbatas,Lainnya
untuk melakukan ib izin bermalam ke batu bara di pagi hari karena akses kendaraan yang terbatas,Lainnya
mengurus pengaktifan rekening bni yang didaftarkan sebagai ktm,Urusan Pribadi
melakukan validasi product dan interview kepada distributor di lintongnihuta terkait tugas dari study independent start up,Tugas Kuliah
requirement gathering ke dinas pariwisata kabupaten toba pemilik kapal dan pemilik rental mobil dan motor untuk keperluan study independen,Lainnya
pengerjaan tugas kreatifitas dan inovasi,Tugas Kuliah
keperluan pengerjaan proyek akhir iii,Tugas Kuliah
urusan keluarga,Bertemu Keluarga
mengerjakan tugas proyek akhir iii,Tugas Kuliah
tugas proyek akhir iii,Tugas Kuliah
mempercepat kepulangan ib karena mengejar angkutan umum dan pada hari ini perkuliahan kelas sudah selesai,Bertemu Keluarga
melakukan cek up di rumah sakit,Bertemu Keluarga
melakukan requirement gathering interview kepada calon user yaitu pedagang ikan di pasar balige laguboti dan juga kepada nelayan di lumban silintong,Lainnya
pengerjaan proyek akir iii,Tugas Kuliah
pengerjaan proyek pa iii,Tugas Kuliah
pengerjaan proyek akhir,Tugas Kuliah
requirement gathering ke dinas pariwisata kabupaten toba pemilik kapal dan pemilik rental mobil dan motor di balige untuk keperluan study independen,Lainnya
memperbaiki laptop ke balige,Memperbaiki Barang
menservice printer ke lincom balige,Memperbaiki Barang
mengurus atm,Urusan Pribadi
requirement gathering ke dinas pariwisata kabupaten toba pemilik kapal dan pemilik rental mobil dan motor di balige untuk keperluan study independen,Lainnya
mengurus atm yang terblokir ke bank,Urusan Pribadi
acara penguburan bapa uda saya,Lainnya
mengurus kacamata minus,Urusan Pribadi
mengurus kacamata,Urusan Pribadi
memperbaiki laptop,Memperbaiki Barang
mengambil berkas ke rumah balige untuk keperluan test psikotest pt asuransi sinar mas,Bertemu Keluarga
ke dokter gigi kawat behel lepas xd balige,Pergi ke Klinik
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna laguboti dan sekolah tinggi diakones hkbp balige,Lainnya
startup validation plan yaitu testing kepada user dari sekolah tinggi ilmu kesehatan arjuna laguboti dan sekolah tinggi diakones hkbp balige,Lainnya
menghadari pemakaman paktua kandung saya,Lainnya
mengambil barang penting dari rumahbalige,Memperbaiki Barang
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
pengujian terhadap desain dan progress hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan ta dan pa iii,Lainnya
tujuan melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat tobaxd xd tempat baligexd xd keperluan pa,Lainnya
kontrol gigi ke soposurung,Pergi ke Klinik
sosialisasi penggunaan produk pa dengan bpbd toba,Lainnya
pengerjaan tugas matakuliah kreativitas dan inovasi,Tugas Kuliah
pengerjaan proyek akhir iii,Tugas Kuliah
mengerjakan tugas proyek akhir iii,Tugas Kuliah
user testing pa iii,Lainnya
user testing untuk mata kuliah tugas akhir,Tugas Kuliah
menghadiri pernikahan saudara abang,Lainnya
untuk melakukan izin bermalam ib ke tanjungbalai di pagi hari karena akses kendaraan yang terbatas,Lainnya
melakukan requirement gathering interview kepada calon user yaitu pedagang ikan di pasar balige laguboti dan juga kepada nelayan di lumban silintong,Lainnya
mengurus kartu atm ke bank,Urusan Pribadi
memperbaiki laptop,Memperbaiki Barang
pengerjaan tugas kreativitas dan inovasi,Tugas Kuliah
keperluan mengerjakan proyek akhir iii,Tugas Kuliah
mengerjakan tugas proyek akhir iii,Tugas Kuliah
keperluan testing dengan user untuk mata kuliah pa,Lainnya
menghadiri acara duka cita keluarga,Bertemu Keluarga
melakukan validasi product dan interview kepada distributor di lintongnihuta terkait tugas dari study independent start up,Tugas Kuliah
orang tua sakit,Pergi ke Klinik
orang tua dalam keadaan sakit,Pergi ke Klinik
melakukan requirement gathering interview kepada calon user yaitu pedagang ikan di pasar balige laguboti dan juga kepada nelayan di lumban silintong,Lainnya
izin bermalam ib di pagi hari dikarenakan mengejar transportasi untuk pulang kerumah dixd jam siang,Bertemu Keluarga
melakukan requirement gathering interview kepada calon user yaitu pedagang ikan di pasar balige laguboti dan juga kepada nelayan di lumban silintong,Lainnya
mencetak kembali nomor hp yang hilang melakukan pemulihan akun mbanking yang terblokir dan memindahkan ke hp yang baru karena hp yang lama hilangxd lokasi yang di tuju kota balige,Lainnya
melakukan pengumpulan data dari insitut teknologi del,Tugas Kuliah
izin pakbu untuk acc izin keluar saya dikarenakan saya ingin pergi ke bank untuk memperbaiki kartu atm saya bermasalah dan juga untuk jumat desember tidak ada ujian akhir semester terimakasih bapak ibu,Tugas Kuliah
selamat siang bapakibu izin untuk acc izin keluar saya dikarenakan ingin mencheck mata saya ke optik terimakasih bapakibu,Lainnya
izin bapakibu untuk melakukan acc kepada ik saya dikarenakan saya mimisan dan saya ingin checkup terkait kesehatan saya ke rumah sakit terimakasih bapakibu,Bertemu Keluarga
mengurus atm mandiri,Urusan Pribadi
pengumpulan data untuk studi independen,Tugas Kuliah
selamat pagi bapakibu perkenalkan saya satrio situmorang nim izin bapakibu kiranya bersedia untuk menyetujui izin keluar saya dikarenakan saya ingin izin bermalam di minggu ini dikarenakan saudara kandung saya abang saya akan menikah tujuan saya melakukan request izin keluar dikarenakan untuk membantu orangtua mempersiapkan pernikahan saudara saya terimakasih bapakibu,Bertemu Keluarga
membuat rekening bank baru ke bank bni,Urusan Pribadi
mengurus atm ke bank mandiri di baligexd dikarenakan atm saya tidak bisa digunakan karena sangat penting untuk perkuliahan saya,Urusan Pribadi
ingin menarik uang ke bank bnixd karena atm tidak ada,Lainnya
mengurus atm ke mandiri,Urusan Pribadi
pulang kerumah,Bertemu Keluarga
pulang kerumah ke sidikalangxd dikarenakan ibu saya sedang sakit,Bertemu Keluarga
mengurus atm saya yang hilang ke mandiri balige dikarenakan sangat penting untuk perkuliahan saya,Urusan Pribadi
izin pulang kerumah untuk ziarah ke makam orang tua dan merayakan paskah bersama keluarga dikarenakan mobil dari balige sidikalang hanya ada trip,Bertemu Keluarga
menarik uang ke bnixd karena orang tua salah kirim ke bankxd sementara kartu atm bni saya tidak ada hanya buku tabungan,Urusan Pribadi
pulang kerumahxd dikarenakan ingin menemani orang tua berobat kemedan,Bertemu Keluarga
mengurus kartu atm dan sim card ponsel,Urusan Pribadi
mengambil visa di medan,Lainnya
wawancara project,Lainnya
ib lebih awal,Lainnya
melakukan validasi product dan interview kepada distributor di lintongnihuta terkait tugas dari study independent start up,Tugas Kuliah
pulang ke rumah balige untuk mengambil buku toefl dan beberapa peralatan kuliah yang wajib digunakan hari jumat,Bertemu Keluarga
wawancara iisma,Lainnya
mengurus berkas skck dan skbn untuk program iisma,Urusan Pribadi
acara keluarga,Bertemu Keluarga
service laptop ke balige,Memperbaiki Barang
melakukan validasi product dan interview kepada distributor di lintongnihuta terkait tugas dari study independent start up,Tugas Kuliah
pengerjaan tugas kreativitas dan inovasi,Tugas Kuliah
keperluan mengerjakan proyek akhir iii,Tugas Kuliah
mengerjakan tugas proyek akhir iii,Tugas Kuliah
mengerjakan proyek akhir iii,Tugas Kuliah
wawancara dengan dinas pertanian toba studi independen,Lainnya
melakukan pengumpulan data dan wawancara untuk keperluan proyek studi independenxd tempat jalan pertanian no huta bulu mejan baligexd waktu wib sd selesaixd narasumber ir togap h sitorus kepala dinas pertanian kabupaten toba,Tugas Kuliah
